name,source,type,regime,score_type,description,url,notes,is_standard,created_by_email
Filthy Fifty,CrossFit,Benchmark,Fastest Time,Time (HH:MM:SS),"**For time:**
- 50 Box Jumps (24/20 in)
- 50 Jumping Pull-ups
- 50 Kettlebell Swings (35/26 lb)
- 50 Walking Lunges
- 50 Knees-to-Elbows
- 50 Push Press (45/35 lb)
- 50 Back Extensions
- 50 Wall Balls (20/14 lb)
- 50 Burpees
- 50 Double Unders",,Classic 500 rep chipper,true,
Fran,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"21-15-9 reps for time of: Thrusters (95/65 lb), Pull-ups",https://www.crossfit.com/workout/fran,,true,
Garrett,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**3 rounds for time:**
- 75 Squats
- 25 Handstand Push-ups
- 25 L Pull-ups",,High volume gymnastics - honoring Garrett Lawton,true,
Grace,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),30 Clean and Jerks for time (135/95 lb),https://www.crossfit.com/workout/grace,,true,
Griff,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**For time:**
- 800m Run
- 4 rounds of:
  - 5 Deadlifts (approximately bodyweight)
  - 10 Burpees
- 800m Run",,Running bookends - honoring Travis L. Griffin,true,
Gwen,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**15-12-9 reps for time:**
- Clean & Jerk (unbroken sets, touch and go)",,Heavy touch-and-go clean & jerks,true,
Heavy Fran,CrossFit,Benchmark,Fastest Time,Time (HH:MM:SS),"**21-15-9 reps for time:**
- Thrusters (135/95 lb)
- Pull-ups",,Heavier variation of classic Fran,true,
Helen,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"3 rounds for time of: 400m Run, 21 Kettlebell Swings (53/35 lb), 12 Pull-ups",https://www.crossfit.com/workout/helen,,true,
Holbrook,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**10 rounds for time:**
- 5 Thrusters (115/80 lb)
- 10 Pull-ups
- 100m Sprint",,Thrusters and sprints - honoring PFC Shane Holbrook,true,
Hope,CrossFit,Girl,AMRAP,Rounds+Reps,"**3 rounds:**
- 1 min Burpees
- 1 min Power Snatches (75/55 lb)
- 1 min Box Jumps (24/20 in)
- 1 min Thrusters (75/55 lb)
- 1 min Chest-to-Bar Pull-ups
- 1 min rest",,Total reps scored across all stations,true,
Isabel,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**For time:**
- 30 Snatches (135/95 lb)",,Olympic lifting benchmark,true,
Jack,CrossFit,Hero,AMRAP,Rounds+Reps,"**20 min AMRAP (with 20 lb vest):**
- 10 Push Press (115/75 lb)
- 10 Kettlebell Swings (53/35 lb)
- 10 Box Jumps (24/20 in)",,Weighted vest AMRAP - honoring Jack M. Martin III,true,
Jackie,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**For time:**
- 1000m Row
- 50 Thrusters (45/35 lb)
- 30 Pull-ups",,Mixed modal sprint workout,true,
Jason,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**For time:**
- 100 Squats
- 5 Muscle-ups
- 75 Squats
- 10 Muscle-ups
- 50 Squats
- 15 Muscle-ups
- 25 Squats
- 20 Muscle-ups",,Muscle-up volume - honoring Jason Lewis,true,
Josh,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**21-15-9 reps for time:**
- Overhead Squats (95/65 lb)
- L Pull-ups",,OHS and L pull-ups - honoring Joshua Hager,true,
Joshie,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**21-15-9 reps for time:**
- Overhead Squats (95/65 lb)
- Ring Dips",,OHS and ring dips - honoring Joshua Hager,true,
JT,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**21-15-9 reps for time:**
- Handstand Push-ups
- Ring Dips
- Push-ups",,Pure pressing volume - honoring Jeffrey Taylor,true,
Karen,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"150 Wall Ball Shots for time (20/14 lb, 10/9 ft)",https://www.crossfit.com/workout/karen,,true,
King Kong,CrossFit,Benchmark,Fastest Time,Time (HH:MM:SS),"**For time:**
- 1 Deadlift (455/315 lb)
- 2 Muscle-ups
- 3 Squat Cleans (250/165 lb)
- 4 Handstand Push-ups
- 5 rounds",,Heavy and technical movements,true,
King Kong For Time,CrossFit,Benchmark,Fastest Time,Time (HH:MM:SS),"**3 rounds for time:**
- 1 Deadlift (455/315 lb)
- 2 Muscle-ups
- 3 Squat Cleans (250/165 lb)
- 4 Handstand Push-ups",,King Kong modified as for time workout,true,
Klepto,CrossFit,Hero,AMRAP,Rounds+Reps,"**27 min AMRAP:**
- 27 Box Jumps (24/20 in)
- 20 Burpees
- 11 Squat Cleans (145/105 lb)",,Heavy cleans AMRAP - honoring Timothy John Maguire,true,
Linda,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**10-9-8-7-6-5-4-3-2-1 reps for time:**
- Deadlifts (1.5x bodyweight)
- Bench Press (bodyweight)
- Squat Cleans (0.75x bodyweight)",,Three bars of death - descending rep scheme,true,
Luce,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**3 rounds for time:**
- 1000m Row
- 10 Muscle-ups
- 100 Squats",,Long chipper - honoring Lucas Carr,true,
Lynne,CrossFit,Girl,AMRAP,Rounds+Reps,"**5 rounds for max reps:**
- Bodyweight Bench Press
- Pull-ups",,Upper body strength test,true,
Maggie,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 20 Handstand Push-ups
- 40 Pull-ups
- 60 Pistol Squats (alternating)",,Advanced gymnastics volume,true,
Margareta,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**For time:**
- 20 Overhead Squats (45/35 lb)
- 20 Back Extensions
- 20 Sit-ups
- 20 GHD Sit-ups
- 20 Back Extensions
- 20 Overhead Squats",,Midline and overhead squat work,true,
Mary,CrossFit,Girl,AMRAP,Rounds+Reps,"**20 min AMRAP:**
- 5 Handstand Push-ups
- 10 Pistol Squats
- 15 Pull-ups",,Advanced gymnastics benchmark,true,
McGhee,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 5 Deadlifts (275/185 lb)
- 13 Push-ups
- 9 Box Jumps (24/20 in)",,Heavy deadlifts - honoring Ryan McGhee,true,
Michael,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**3 rounds for time:**
- 800m Run
- 50 Back Extensions
- 50 Sit-ups",,Running and midline work - honoring Michael McGreevy,true,
Murph,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"For time: 1 mile Run, 100 Pull-ups, 200 Push-ups, 300 Air Squats, 1 mile Run (wear 20 lb vest if possible)",https://www.crossfit.com/workout/murph,,true,
Nancy,CrossFit,Girl,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 400m Run
- 15 Overhead Squats (95/65 lb)",,Running and overhead squatting,true,
Nate,CrossFit,Hero,AMRAP,Rounds+Reps,"**20 min AMRAP:**
- 2 Muscle-ups
- 4 Handstand Push-ups
- 8 Kettlebell Swings (70/53 lb)",,Advanced gymnastics AMRAP - honoring Nate Hardy,true,
Nick,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**10 rounds for time:**
- 400m Run
- 15 Parallette Handstand Push-ups
- 30 Squats",,Running and gymnastics - honoring Nicholas Spehar,true,
Nicole,CrossFit,Girl,AMRAP,Rounds+Reps,"**20 min AMRAP:**
- 400m Run
- Max rep Pull-ups",,Running and max pull-ups each round,true,
Nutts,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**10 rounds for time:**
- 10 Handstand Push-ups
- 15 Deadlifts (250/175 lb)",,Pressing and heavy deadlifts - honoring Timothy P. Nuttall,true,
Randy,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**For time:**
- 75 Power Snatches (75/55 lb)",,High rep snatches - honoring Randy Simmons,true,
RJ,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 800m Run
- 5 Rope Climbs (15 ft)
- 50 Push-ups",,Running and rope climbs - honoring Robert J. Cottle,true,
Roy,CrossFit,Hero,AMRAP,Rounds+Reps,"**5 rounds:**
- 15 Deadlifts (225/155 lb)
- 20 Box Jumps (24/20 in)
- 25 Pull-ups",,Heavy deadlifts - honoring Roy Holbrook,true,
Ryan,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 7 Muscle-ups
- 21 Burpees",,Muscle-ups and burpees - honoring Ryan Hummert,true,
The Chief,CrossFit,Benchmark,AMRAP,Rounds+Reps,"**5 rounds, 3 min AMRAP:**
- 3 Power Cleans (135/95 lb)
- 6 Push-ups
- 9 Air Squats

*Rest 1 min between rounds*",,Interval workout with power cleans,true,
The Ghost,CrossFit,Hero,AMRAP,Rounds+Reps,"**6 rounds:**
- 1 min max cal Row
- 1 min max Burpees
- 1 min max Double Unders

*Rest 1 min between rounds*",,High intensity intervals - honoring Marc Lee,true,
The Seven,CrossFit,Hero,AMRAP,Rounds+Reps,"**7 rounds:**
- 7 Handstand Push-ups
- 7 Thrusters (135/95 lb)
- 7 Knees-to-Elbows
- 7 Deadlifts (245/165 lb)
- 7 Burpees
- 7 Kettlebell Swings (70/53 lb)
- 7 Pull-ups",,Seven rounds of seven reps - honoring fallen SEAL Team members,true,
Tiff,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**For time:**
- 800m Run
- 5 Muscle-ups
- 400m Run
- 10 Muscle-ups
- 200m Run
- 15 Muscle-ups",,Increasing muscle-up volume with running - honoring Lt. Andrew Nuttall,true,
Tommy V,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**For time:**
- 21 Thrusters (115/80 lb)
- 12 Rope Climbs
- 15 Thrusters
- 9 Rope Climbs
- 9 Thrusters
- 6 Rope Climbs",,Thrusters and rope climbs - honoring Thomas J. Valentine,true,
Whitten,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**5 rounds for time:**
- 22 Kettlebell Swings (70/53 lb)
- 22 Box Jumps (24/20 in)
- 400m Run
- 22 Burpees
- 22 Wall Balls (20/14 lb)",,Mixed modal - honoring George Whitten,true,
Zeus,CrossFit,Hero,Fastest Time,Time (HH:MM:SS),"**3 rounds for time:**
- 30 Wall Balls (20/14 lb)
- 30 SDHP (75/55 lb)
- 30 Box Jumps (24/20 in)
- 30 Push Press (75/55 lb)
- 30 cal Row
- 30 Push-ups
- 30 cal Bike",,Long chipper - honoring multiple fallen soldiers,true,
" AirDyne Tabata",Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),"8 rounds:
20s work
10s rest",,,false,br8kwall@gmail.com
011023,Wodify Import,Self-created,AMRAP,Rounds+Reps,<p>AMRAP in 22:</p><p>20 burpees</p><p>15deadlifts (135/95)</p><p>10 power cleans (135/95)</p><p>20 box jumps</p>,,,false,br8kwall@gmail.com
10 min Row MAX Calories,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),burn as many calories as possible!!,,,false,br8kwall@gmail.com
2k Row,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),Max Effort 2k Row,,,false,br8kwall@gmail.com
Barbell Complex,Wodify Import,Self-created,AMRAP,Max Weight,"<p><strong>7 sets:</strong><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">3 push jerks + 1 split jerk</span></p><p> </p><p><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">building</span></p>",,,false,br8kwall@gmail.com
Barf Bag,Other Coach,Benchmark,AMRAP,Rounds+Reps,"## Barf Bag 

* 30x Thrusters, heavy
* 30x Burpees

Until you can’t do any more",HTTPs://youTube.com,# work really hard,false,br8kwall@gmail.com
Bear Necessities,Wodify Import,Self-created,AMRAP,Rounds+Reps,<p>10 rounds for time:</p><p>1 Bear Complex (135/95)</p><p>2 burpees</p><p>3 box jump overs (24/20)</p>,,,false,br8kwall@gmail.com
Blue Chip,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),"<p style=""text-align:center;"">RX:<br>For time<br>500m Row<br>40 Air Squats<br>30 Sit Ups<br>20 Push Ups<br>10 Pull Ups</p><p style=""text-align:center;""><br> INTERMEDIATE:<br>For time<br>500m Row<br>40 Air Squats<br>30 Sit Ups<br>20 Push Ups<br>10 Pull Ups<br><br>FOUNDATIONS / CORE:<br>For time<br>500m Row or .5/6 mile Bike<br>40 Air Squats<br>30 Leg Rainbows<br>20 Elevated Push Ups<br>10 Ring Rows</p>",,,false,br8kwall@gmail.com
CAP 221219,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),<header><p><strong>For time:</strong><br />150-ft DB walking lunges (35/50 lb)<br />50 alternating DB hang snatches<br />150-ft DB walking lunges<br />50 single-arm DB hang power cleans<br />150-ft DB walking lunges<br />50 lateral hops over DB<br />150-ft DB walking lunges<br />50 single-arm DB deadlift<br />– Use a single DB for all weighted movements.</p></header>,,,false,br8kwall@gmail.com
CAP 230215,Wodify Import,Self-created,AMRAP,Max Weight,<p><strong>EMOM 21:</strong><br />Minute 1 | DB manmakers (35/50 lb)<br />Minute 2 | 5 back squats<br />Minute 3 | rest<br />– Use two DBs for the manmakers.</p>,,,false,br8kwall@gmail.com
CAP 230228,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),<p>42/60 calorie row</p><p>then…</p><p>21-15-9-3:<br />Toes-to-bars<br />DB box step-ups (20/24 in) (35/50 lb)<br />Alternating DB snatches (35/50 lb)</p><p>then…</p><p>42/60 calorie row</p><p>– Use a single DB for step-ups and DB snatches.</p>,,,false,br8kwall@gmail.com
CAP 230605,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),<p><strong>Conditioning challenge:</strong><br />20:00 to establish max meters on a machine of your choice.</p>,,,false,br8kwall@gmail.com
CAP 240428,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),"<p><strong>3 rounds for time:</strong><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">30 alternating single-leg squats</span><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">15 push jerks (65/95 lb)</span></p>",,,false,br8kwall@gmail.com
CAP 240614,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),"<p><strong>For time:</strong><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">30 sumo deadlift high pulls (55/75 lb)</span><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">1:00 plank hold</span><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">30 lateral burpees over the barbell</span><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">1:00 plank hold</span><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">30 sumo deadlift high pulls</span><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">1:00 plank hold</span><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">30 lateral burpees over the barbell</span><br><span style=""background-color:rgb(255,255,255);color:rgb(26,26,26);font-size:16px;"">– Plank hold time is accumulated.</span></p>",,,false,br8kwall@gmail.com
CAP221204,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),<p>For time:</p><p>25 box jump overs (24/20)</p><p>800 m run or row</p><p>25 burpee box jump overs (24/20)</p>,,,false,br8kwall@gmail.com
CAP230319,Wodify Import,Self-created,AMRAP,Rounds+Reps,<p><strong>AMRAP 10:</strong><br />2 hang power clean and jerks (105/155 lb)<br />4 box jumps (20/24 in)<br />8 push-ups</p>,,,false,br8kwall@gmail.com
CF Open 17.5,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),<p><strong>10 rounds for time:</strong><br />9 thrusters (65/95 lb)<br />35 double-unders</p>,,,false,br8kwall@gmail.com
CrossFit Games Open 12.1,Wodify Import,Self-created,AMRAP,Rounds+Reps,"7-Minute AMRAP of:
Burpees to a 6"" target",,,false,br8kwall@gmail.com
CrossFit Games Open 17.1,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),"For time:
10 snatches
15 burpee box jump-overs
20 snatches
15 burpee box jump-overs
30 snatches
15 burpee box jump-overs
40 snatches
15 burpee box jump-overs
50 snatches
15 burpee box jump-overs

M: 50-lb. dumbbell / 24-in. box
F: 35-lb. dumbbell / 20-in. box

Time cap: 20 minutes",,,false,br8kwall@gmail.com
CrossFit Games Open 22.2 Scaled (Ages 16-54),Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),"1-2-3-4-5-6-7-8-9-10-9-8-7-6-5-4-3-2-1 reps for time of:
Deadlifts
Bar-facing burpees
Time cap: 10 minutes

F: 95-lb Barbell, may step over on burpees
M: 135-lb Barbell, may step over on burpees",,,false,br8kwall@gmail.com
CrossFit Games Open 23.1 Scaled (Ages 16-54),Wodify Import,Self-created,AMRAP,Rounds+Reps,"14 minutes of:
60-calorie row
50 hanging knee raises
40 wall-ball shots
30 cleans
20 chin-over-bar pull-ups

F: 10lb ball to 9ft target, 65lb
M: 14lb ball to 10ft target, 95lb",,,false,br8kwall@gmail.com
DB Burpee DLs and Rowing,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),<p>4 rounds for time</p><p>23 Cal Row</p><p>23 DB Burpee Deadlifts (50/35)</p>,,,false,br8kwall@gmail.com
Favorite Candy,Self-recorded,Notables,AMRAP,Rounds+Reps,"### Run around really fast, then
* 50 Burpees
* 120 Push Ups

I am Markdown formatted",,,false,br8kwall@gmail.com
Fight Gone Bad,Wodify Import,Self-created,AMRAP,Rounds+Reps,"3 Rounds For Total Reps in 17 minutes.
1 minute Wall Ball Shots (20/14 lb)
1 minute Sumo Deadlift High-Pulls (75/55 lb)
1 minute Box Jumps (20 in)
1 minute Push Press (75/55 lb)
1 minute Row (calories)
1 minute Rest.",,,false,br8kwall@gmail.com
Jump the Shart,Wodify Import,Self-created,AMRAP,Rounds+Reps,<p>3 RFT:</p><p>15 burpee box jump overs (24/20)</p><p>30 kb swings (70/53)</p>,,,false,br8kwall@gmail.com
Kelly,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),"5 Rounds for time of:  
400m Run  
30 Box Jumps, 24'' / 20''  
30 Wall-Ball Shots, 20# / 14#",,,false,br8kwall@gmail.com
Metcon,Wodify Import,Self-created,AMRAP,Rounds+Reps,"AMRAP 10 mins
200m Run / Row
15 Air Squats
45s Hollow Hold",,,false,br8kwall@gmail.com
MyWod,Self-recorded,Benchmark,Fastest Time,Time (HH:MM:SS),"# title

* jump 6 times
* rest",,,false,br8kwall@gmail.com
One Bite at a Time,Wodify Import,Self-created,AMRAP,Time (HH:MM:SS),<p>10 rounds for time:</p><p>3 pull ups</p><p>4 alt DB clean and jerk (50/35)</p><p>3 toes to bar</p><p>4 box jumps</p>,,,false,br8kwall@gmail.com
Sled Push max wt 8 seconds ,Wodify Import,Self-created,AMRAP,Max Weight,Sled push max wt 8 seconds,,,false,br8kwall@gmail.com
That Sit,Wodify Import,Self-created,AMRAP,Rounds+Reps,"Alternating OTM for 12 min
30 sec AMCAP bike
30 sec AMRAP DB push presses (50/35#)
30 sec AMRAP sit-ups",,,false,br8kwall@gmail.com
Turducken,Self-recorded,Benchmark,Fastest Time,Time (HH:MM:SS),"Turducken

For Time

 * 20 Deadlifts

 * 30 Pulls

- 20 Deadlifts

- 40 Wall Balls

- 30 Pulls

- 20 Deadlifts

- 50 Box Jumps

- 40 Wall Balls

- 30 Pulls

- 20 Deadlifts

RX:

Deadlift (135/185#)

WallBall (14/20#)

Pull-Ups

INTERMEDIATE:

Deadlift (95/135#)

WallBall (10/14#)

Vertical Ring Rows

FOUNDATIONS:

Deadlift (up 55/75#)

WallBall Thruster (10#)

Ring Rows

*The first of three Turkey Day Workouts this week!

(Score is Time)

SCORE = Time

WOD TYPE: EFFORT

Intended Stimulus: 16-22 minutes

RPE: 9",,,false,br8kwall@gmail.com
Turducken2,Self-recorded,Benchmark,Fastest Time,Time (HH:MM:SS),"Turducken

For Time

20 Deadlifts

30 Pulls

20 Deadlifts

40 Wall Balls

30 Pulls

20 Deadlifts

50 Box Jumps

40 Wall Balls

30 Pulls

20 Deadlifts

RX:

Deadlift (135/185#)

WallBall (14/20#)

Pull-Ups

INTERMEDIATE:

Deadlift (95/135#)

WallBall (10/14#)

Vertical Ring Rows

FOUNDATIONS:

Deadlift (up 55/75#)

WallBall Thruster (10#)

Ring Rows

*The first of three Turkey Day Workouts this week!

(Score is Time)

SCORE = Time

WOD TYPE: EFFORT

Intended Stimulus: 16-22 minutes

RPE: 9",,,false,
